user_id,record_date,silicate
1,2021/2/14,1.88955812
1,2021/2/15,1.12261685
1,2021/2/16,1.33888176
1,2021/2/17,1.33385365
1,2021/2/18,2.24346403
1,2021/2/19,0.95314988
1,2021/2/20,1.73141142
1,2021/2/21,2.62517904
1,2021/2/22,2.37655445
1,2021/2/23,2.49874595
1,2021/2/24,2.47250989
1,2021/2/25,1.80334991
1,2021/2/26,1.13559443
1,2021/2/27,1.66436059
1,2021/2/28,0.90286878
1,2021/3/1,1.55933208
1,2021/3/2,1.69447307
1,2021/3/3,1.63584924
1,2021/3/4,1.99941811
1,2021/3/5,2.44472888
1,2021/3/6,2.26447535
1,2021/3/7,3.1988892
1,2021/3/8,2.77546054
1,2021/3/9,2.74773571
1,2021/3/10,1.19829131
1,2021/3/11,0.57477758
1,2021/3/12,0.32814738
1,2021/3/13,0.46609737
1,2021/3/14,1.0376446
1,2021/3/15,1.13435847
1,2021/3/16,1.79812517
1,2021/3/17,2.57722941
1,2021/3/18,2.09503647
1,2021/3/19,2.96473096
1,2021/3/20,2.25874499
1,2021/3/21,2.68956132
1,2021/3/22,2.25130114
1,2021/3/23,0.79674476
1,2021/3/24,0.5367999
1,2021/3/25,1.8059061
1,2021/3/26,1.3056232
1,2021/3/27,1.37399426
1,2021/3/28,1.33520197
1,2021/3/29,2.7890561
1,2021/3/30,2.27812709
1,2021/3/31,2.18239637
1,2021/4/1,2.54088095
1,2021/4/2,2.69509505
1,2021/4/3,1.68222583
1,2021/4/4,1.73705751
1,2021/4/5,1.00761639
1,2021/4/6,0.24199535
1,2021/4/7,1.06958293
1,2021/4/8,1.7424227
1,2021/4/9,1.86663668
1,2021/4/10,2.41309954
1,2021/4/11,1.17034176
1,2021/4/12,2.16458731
1,2021/4/13,3.77125104
1,2021/4/14,3.11259672
1,2021/4/15,2.57953279
1,2021/4/16,1.66632689
1,2021/4/17,0.83896403
1,2021/4/18,0.58165963
1,2021/4/19,1.00528492
1,2021/4/20,2.22812689
1,2021/4/21,2.01694627
1,2021/4/22,2.84029226
1,2021/4/23,0.42531069
1,2021/4/24,0.08592731
1,2021/4/25,1.65011896
1,2021/4/26,1.47177555
1,2021/4/27,0.52960886
1,2021/4/28,1.65447291
1,2021/4/29,0.41592863
1,2021/4/30,0.78123908
1,2021/5/1,1.02143667
1,2021/5/2,2.36821172
1,2021/5/3,4.8452441
1,2021/5/4,4.4722089
1,2021/5/5,1.57186022
1,2021/5/6,2.34669478
1,2021/5/7,3.07793366
